chr1,gene,3073253,3074322,"TEC","4933401J01Rik"
chr1,gene,3102016,3102125,"snRNA","Gm26206"
chr1,gene,3205901,3671498,"protein_coding","Xkr4"
chr1,gene,3252757,3253236,"processed_pseudogene","Gm18956"
chr1,gene,3365731,3368549,"TEC","Gm37180"
chr1,gene,3375556,3377788,"TEC","Gm37363"
chr1,gene,3464977,3467285,"TEC","Gm37686"
chr1,gene,3466587,3513553,"antisense","Gm1992"
chr1,gene,3512451,3514507,"TEC","Gm37329"
chr1,gene,3531795,3532720,"processed_pseudogene","Gm7341"
chr1,gene,3592892,3595903,"TEC","Gm38148"
chr1,gene,3647309,3658904,"sense_intronic","Gm19938"
chr1,gene,3680155,3681788,"TEC","Gm10568"
chr1,gene,3752010,3754360,"TEC","Gm38385"
chr1,gene,3783876,3783933,"snRNA","Gm27396"
chr1,gene,3905739,3986215,"lincRNA","Gm37381"
chr1,gene,3999557,4409241,"protein_coding","Rp1"
chr1,gene,4256234,4260519,"processed_pseudogene","Gm6101"
chr1,gene,4292981,4409187,"protein_coding","Rp1"
chr1,gene,4363346,4364829,"TEC","Gm37483"
chr1,gene,4490931,4497354,"protein_coding","Sox17"
chr1,gene,4496551,4499558,"processed_transcript","Gm37587"
chr1,gene,4522905,4526737,"processed_pseudogene","Gm7357"
chr1,gene,4529017,4529123,"snRNA","Gm22307"
chr1,gene,4534837,4535286,"processed_pseudogene","Gm38076"
chr1,gene,4583129,4586252,"lincRNA","Gm37323"
chr1,gene,4610471,4611406,"processed_pseudogene","Gm7369"
chr1,gene,4687934,4689403,"processed_pseudogene","Gm6085"
chr1,gene,4692219,4693424,"processed_pseudogene","Gm6119"
chr1,gene,4723277,4723379,"snRNA","Gm25493"
chr1,gene,4735046,4735676,"processed_pseudogene","Gm2053"
chr1,gene,4771131,4772199,"processed_pseudogene","Gm6123"
chr1,gene,4773206,4785739,"protein_coding","Mrpl15"
chr1,gene,4778063,4779212,"TEC","Gm37144"
chr1,gene,4807788,4848410,"protein_coding","Lypla1"
chr1,gene,4807892,4886770,"protein_coding","Gm37988"
